subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A84;externalU2_randomx0;1.1200654059648514;1.0529033839702606;1.2119517736136913;1.0;0.594308847784996;0.999999998509884;0.0;-1.0;0.0;2.2938991636037827;481.04302256564034;651;0.7389293741407685;543.7404627397516
A93;externalU2_randomx0;-0.08363503217697144;0.22356659173965454;-0.09444522857666016;1.0;0.3066440629959106;0.012364733219146717;0.0;-1.0;0.0;1.507326602935791;5902.094767575507;7409;0.7966115221454322;9074.34220665467
A83;externalU2_randomx0;0.18752863613917725;0.28041336831302033;0.09942956065060571;1.0;0.3501528334815521;0.9927121199056275;0.0;-1.0;0.0;1.3982728600822156;7446.553952713631;9451;0.787911750366483;14379.164137751142
A95;externalU2_randomx0;0.152280990860163;0.3582837972026027;0.1259584236140654;1.0;0.2525372178581893;0.9976675278165203;0.0;-1.0;0.0;1.180003161120112;4324.347193898347;5220;0.8284190026625186;5503.270728477799
A89;externalU2_randomx0;0.42274124175310135;0.45259433425962925;0.45730496663600206;1.0;0.16794760666787623;7.450580152834618e-10;0.0;-1.0;0.0;0.6124161221086979;7897.99561222143;9996;0.790115607465129;19902.518991685924
A92;externalU2_randomx0;0.06821641311923088;0.30840738515962585;0.20625239781300309;1.0;0.3557092491984736;0.31796889718867477;0.0;-1.0;0.0;1.600191283651327;8312.772424409935;9996;0.8316098863955518;28964.043870525165
A83;externalU2_randomx0;0.1764131210038613;0.2457376781530911;0.1065162413615326;1.0;0.24998366779473147;1.4551693183761927e-12;0.0;-1.0;0.0;1.083282984152902;7406.924237023642;9451;0.7837185733809799;14271.32106302484
A84;externalU2_randomx0;0.27275446258437697;0.18157666755740465;0.32437263474760414;1.0;0.4550710777118977;2.831068712794149e-15;0.0;-1.0;0.0;1.9713164890157344;479.01942643268706;651;0.7358209315402259;538.7181005207785
A92;externalU2_randomx0;-0.021859022535252848;0.22666819651213643;0.12416503131339596;1.0;0.3787491753431857;2.831068712794149e-15;0.0;-1.0;0.0;1.7599105637124808;8320.869204558117;9996;0.8324198884111762;29007.898941593005
A95;externalU2_randomx0;0.00706943795702486;0.2092115740045024;-0.059834720980664;1.0;0.2629213817054534;0.8125191069390909;0.0;-1.0;0.0;1.3633924811738183;4328.053046021023;5220;0.8291289360193531;5507.228749961318
A89;externalU2_randomx0;0.5218369028354326;0.5495399418947517;0.5304820620666035;1.0;0.21984050972760222;0.47785552966189915;0.0;-1.0;0.0;0.7287619838883046;8051.193564926599;9996;0.8054415331059023;20417.9157772338
A96;externalU2_randomx0;0.11058568547548475;0.5727043778259713;0.2014834684138691;1.0;0.2884085548937037;7.974576973307501e-05;0.0;-1.0;0.0;1.154987932652375;5285.9500189457685;6884;0.7678602584174562;8084.816436473935
A86;externalU2_randomx0;0.41984078253757673;0.5976757839863751;0.517236518876274;1.0;0.18120751812879687;2.2198323477717885e-06;0.0;-1.0;0.0;0.5963269033887286;7874.256953204107;9996;0.7877407916370656;18495.99771773477
A87;externalU2_randomx0;0.4809316671759811;0.6060077629611271;0.5163358025014153;1.0;0.17517434957125105;0.37730123720351416;0.0;-1.0;0.0;0.583538048073418;7880.779316451658;9996;0.7883932889607501;18657.174628493147
