subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A89;spatial_reduced3;-0.004349272860284;0.0;0.0145182612220349;1.0;0.1943596216140153;0.1673607141316811;1.47038800139196;-1.0;0.0;0.0;7572.621496075025;9996.0;0.7575651756777736;17226.38591083108
A95;spatial_reduced3;-0.1019864045083522;0.0;-0.0845774235203862;1.0;0.2083120799064636;2.3681297898259235e-05;1.6495949774980545;-1.0;0.0;0.0;4019.683493111281;5220.0;0.7700543090251497;3987.867095717284
A92;spatial_reduced3;-0.0628345861332491;0.0;0.008608364732936;1.0;0.1777674732729792;0.0004988780012353;1.6515331962145865;-1.0;0.0;0.0;8117.935316295307;9996.0;0.8121183789811232;25303.120433086813
A93;spatial_reduced3;-0.1193073680042289;0.0;-0.1059375318582169;1.0;0.2148496442614123;1.1641521080463235e-11;1.5934479222632945;-1.0;0.0;0.0;5420.912278852052;7409.0;0.7316658494873872;7602.187478462078
A84;spatial_reduced3;0.0803447365021838;0.0;0.1227888221364423;1.0;0.2457184031999623;2.270406085358445e-14;1.3645575516720785;-1.0;0.0;0.0;405.3032733768284;651.0;0.6225856733899053;402.824670916848
A83;spatial_reduced3;-0.0109106062654973;0.0;-0.047350960510812;1.0;0.1813809273277729;0.5207511574877571;1.3889267438426032;-1.0;0.0;0.0;7016.062626807157;9451.0;0.7423619327909382;12792.262784558126
A92;spatial_reduced3;-0.0643200454735506;0.0;0.0104646283959937;1.0;0.1779553799976383;1.026990548769202e-06;1.6902560112321223;-1.0;0.0;0.0;8106.671135618356;9996.0;0.810991510165902;25278.43573801549
A89;spatial_reduced3;-0.0074584006433724;0.0;0.0089856693484762;1.0;0.1864850119847688;0.4210641158329963;1.2921053842583206;-1.0;0.0;0.0;7565.613465869663;9996.0;0.7568640922238559;17181.60730274584
A93;spatial_reduced3;-0.1018732736638412;0.0;-0.0809427629383208;1.0;0.2012995234410482;0.3416230726636058;1.328085147528327;-1.0;0.0;0.0;5390.18348388599;7409.0;0.7275183538785248;7564.804016828963
A84;spatial_reduced3;0.1122216582298278;0.0;0.1385908126831054;1.0;0.2627126932144165;4.768371580921028e-08;1.2792773246765137;-1.0;0.0;0.0;403.9645942305759;651.0;0.6205293306153239;401.9047872048157
A87;spatial_reduced3;-0.0831007501219573;0.0;-0.0792436889532837;1.0;0.2131528234429424;0.0839721273994655;1.62804761598818;-1.0;0.0;0.0;7354.103400057979;9996.0;0.7357046218545398;16781.165401191298
A96;spatial_reduced3;-0.1887691877782344;0.0;-0.1381000131368637;1.0;0.230131599009037;0.0281825602054595;1.6731051802635193;-1.0;0.0;0.0;4903.356799091413;6884.0;0.7122830910940461;6951.3089517197495
A86;spatial_reduced3;-0.1527099609375;0.0;-0.0750732421875;1.0;0.1978466796875;0.311572265625;1.4794921875;-1.0;0.0;0.0;7323.116626924893;9996.0;0.732604704574319;16399.761101766984
A87;spatial_reduced3;-0.0854800226188672;0.0;-0.0752580575099273;1.0;0.2199528156768065;0.0502373734379943;1.67549440273433;-1.0;0.0;0.0;7354.83462718981;9996.0;0.7357777738285124;16772.941849888408
A86;spatial_reduced3;-0.1520455019672226;0.0;-0.0745645614879322;1.0;0.1922238281462341;0.3878789861577388;1.4320382172008976;-1.0;0.0;0.0;7318.819087993477;9996.0;0.732174778710832;16429.641977961222
A96;spatial_reduced3;-0.1933658123016357;0.0;-0.1413438320159912;1.0;0.2264858245849609;4.768371580921028e-08;1.6934089660644531;-1.0;0.0;0.0;4898.140703590674;6884.0;0.7115253782089881;6961.018501752656
