subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A83,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,2.0,200,3143,14,0.7419769957627662,0.5172542157174673
A83,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,2.0,2.0,200,3143,14,0.7419769957627662,0.9999888641425391
A83,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,2.0,200,3143,14,0.7419769957627662,0.5172542157174673
A83,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-2.0,2.0,200,3143,14,0.7419769957627662,0.0
A83,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,2.0,200,6251,14,0.7419769957627662,0.5022940329547273
A83,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,2.0,2.0,200,6251,14,0.7419769957627662,3.199488081906895e-05
A83,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,6251,14,0.7419769957627662,0.5022940329547273
A83,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-2.0,2.0,200,6251,14,0.7419769957627662,0.6512981922892336
A84,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,2.0,200,206,14,0.619419156956255,0.6511165048543689
A84,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,2.0,2.0,200,206,14,0.619419156956255,1.0
A84,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,2.0,200,206,14,0.619419156956255,0.6511165048543689
A84,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-2.0,2.0,200,206,14,0.619419156956255,0.0
A84,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,2.0,200,416,14,0.619419156956255,0.7101682692307694
A84,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,2.0,2.0,200,416,14,0.619419156956255,8.413461538461538e-05
A84,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,416,14,0.619419156956255,0.7101682692307694
