subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A83,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,9394,1,0.7384749692115277,0.5227624015328932
A83,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,9394,1,0.7384749692115277,0.3424989354907369
A83,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,9394,1,0.7384749692115277,0.5227624015328932
A83,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,9394,1,0.7384749692115277,0.4182063018948263
A83,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,9394,1,0.7384749692115277,0.5227624015328932
A83,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,9394,1,0.7384749692115277,0.44180593996167755
A83,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,9394,1,0.7384749692115277,0.5227624015328932
A83,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,9394,1,0.7384749692115277,0.3347487758143495
A84,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,622,1,0.639058182432981,0.7708681672025722
A84,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,622,1,0.639058182432981,0.33669614147909976
A84,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,622,1,0.639058182432981,0.7708681672025722
A84,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,622,1,0.639058182432981,0.5405787781350483
A84,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,622,1,0.639058182432981,0.7708681672025722
A84,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,622,1,0.639058182432981,0.5945498392282957
A84,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,622,1,0.639058182432981,0.7708681672025722
A84,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,622,1,0.639058182432981,0.3346864951768489
A86,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7482832459067832,0.45083183273309335
A86,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7482832459067832,0.40052270908363324
A86,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7482832459067832,0.45083183273309335
A86,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7482832459067832,0.4087965186074433
A86,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7482832459067832,0.45083183273309335
A86,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7482832459067832,0.4173199279711881
A86,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7482832459067832,0.45083183273309335
A86,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7482832459067832,0.3976650660264104
A87,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7394406812445979,0.49641256502601055
A87,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7394406812445979,0.3456522609043608
A87,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7394406812445979,0.49641256502601055
A87,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7394406812445979,0.4172028811524604
A87,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7394406812445979,0.49641256502601055
A87,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7394406812445979,0.4332723089235689
A87,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7394406812445979,0.49641256502601055
A87,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7394406812445979,0.33739595838335185
A89,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7566358036548084,0.5702791116446588
A89,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7566358036548084,0.33413365346138457
A89,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.7566358036548084,0.5702791116446588
A89,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.7566358036548084,0.45768107242897194
A89,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7566358036548084,0.5702791116446588
A89,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7566358036548084,0.47057172869147623
A89,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.7566358036548084,0.5702791116446588
A89,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.7566358036548084,0.33413365346138457
A92,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.8083956224972898,0.45539315726290486
A92,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.8083956224972898,0.36655562224890026
