subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A83,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,3143,14,0.7419769957627662,0.5168183264397072
A83,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,3143,14,0.7419769957627662,0.946255170219536
A83,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,3143,14,0.7419769957627662,0.5168183264397072
A83,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,3143,14,0.7419769957627662,0.008089405027044206
A83,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6251,14,0.7419769957627662,0.5015757478803391
A83,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6251,14,0.7419769957627662,0.1076451767717167
A83,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6251,14,0.7419769957627662,0.5015757478803391
A83,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6251,14,0.7419769957627662,0.649255319148936
A84,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,206,14,0.619419156956255,0.6549029126213592
A84,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,206,14,0.619419156956255,0.9654368932038835
A84,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,206,14,0.619419156956255,0.6549029126213592
A84,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,206,14,0.619419156956255,0.030922330097087388
A84,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,416,14,0.619419156956255,0.713533653846154
A84,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,416,14,0.619419156956255,0.2544471153846154
A84,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,416,14,0.619419156956255,0.713533653846154
A84,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,416,14,0.619419156956255,0.8016225961538462
A86,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,3369,14,0.7319348601923428,0.536985752448798
A86,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,3369,14,0.7319348601923428,0.9419382606114574
A86,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,3369,14,0.7319348601923428,0.536985752448798
A86,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,3369,14,0.7319348601923428,0.0190160284951024
A86,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6627,14,0.7319348601923428,0.48023766410140334
A86,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6627,14,0.7319348601923428,0.10969971329409998
A86,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6627,14,0.7319348601923428,0.48023766410140334
A86,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6627,14,0.7319348601923428,0.6452369096121926
A87,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,3347,14,0.7351812850880776,0.5124813265610993
A87,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,3347,14,0.7351812850880776,0.9157364804302353
A87,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,3347,14,0.7351812850880776,0.5124813265610993
A87,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,3347,14,0.7351812850880776,0.03962951897221397
A87,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6649,14,0.7351812850880776,0.48429839073544895
A87,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6649,14,0.7351812850880776,0.14247255226349825
A87,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6649,14,0.7351812850880776,0.48429839073544895
A87,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6649,14,0.7351812850880776,0.6407655286509252
A89,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,3340,14,0.756607649391958,0.514193113772455
A89,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,3340,14,0.756607649391958,0.9638577844311397
A89,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,3340,14,0.756607649391958,0.514193113772455
A89,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,3340,14,0.756607649391958,8.682634730538923e-05
A89,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6656,14,0.756607649391958,0.5319591346153845
A89,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6656,14,0.756607649391958,0.08523587740384617
A89,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6656,14,0.756607649391958,0.5319591346153845
A89,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6656,14,0.756607649391958,0.6606490384615379
A92,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,3312,14,0.810991510165902,0.46212107487922693
A92,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,3312,14,0.810991510165902,0.8953608091787447
A92,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,3312,14,0.810991510165902,0.46212107487922693
A92,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,3312,14,0.810991510165902,0.028129528985507257
A92,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6684,14,0.810991510165902,0.46072935368043094
A92,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6684,14,0.810991510165902,0.13717983243566728
A92,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6684,14,0.810991510165902,0.46072935368043094
A92,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6684,14,0.810991510165902,0.6112911430281267
A93,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,2493,14,0.7274730573774455,0.6048435619735257
A93,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,2493,14,0.7274730573774455,0.9574709185720017
A93,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,2493,14,0.7274730573774455,0.6048435619735257
A93,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,2493,14,0.7274730573774455,0.025004011231448044
A93,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,4813,14,0.7274730573774455,0.5477311448161233
A93,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,4813,14,0.7274730573774455,0.13204342405983793
A93,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,4813,14,0.7274730573774455,0.5477311448161233
A93,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,4813,14,0.7274730573774455,0.705238936214419
A95,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,1618,14,0.7599761659321883,0.6383745364647713
A95,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,1618,14,0.7599761659321883,0.9801019777503097
A95,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,1618,14,0.7599761659321883,0.6383745364647713
A95,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,1618,14,0.7599761659321883,0.00011124845488257107
A95,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,2827,14,0.7599761659321883,0.596130173328617
